trial_id,mean_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.type.deap_crossover_kwargs,config.type.deap_crossover_method,config.type.deap_mutation_operator,config.type.doomsday_population_ratio,config.type.doomsday_replace_with_random_prob,config.type.enemy_number,config.type.mating_num,config.type.patience,config.type.population_size,config.type.tournament_method,config.type.type,config.type.deap_mutation_kwargs.indpb,config.type.deap_mutation_kwargs.mu,config.type.deap_mutation_kwargs.sigma,config.type.tournament_kwargs.k,config.type.tournament_kwargs.tournsize
24aaa6fa,18.03978747192581,1278.085322856903,True,,,1.0,71f816ea93b6415fbd82992949cc5fab,2021-10-16_08-57-15,1634367435.0,1278.085322856903,98127.0,EPNLHOOW0187,192.168.100.70,1278.085322856903,0.0,1.0,"21_deap_crossover_kwargs=0.73107,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.007458,doomsday_replace_with_random_prob=0.92145,enemy_number=(6, 7, 8),mating_num=9,patience=4,population_size=30,k=2,tournament_method=<function selProportional at 0x129dbfee0>,type=proportional",0.7310670831351462,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.0074580464040144845,0.9214519953914211,"(6, 7, 8)",9.0,4.0,30.0,<function selProportional at 0x129dbfee0>,proportional,0.3,0.0,1.0,2.0,
4e612f5a,20.442445547162613,1932.5116510391235,True,,,1.0,19cfceb7335e4256ab8c98f1e26ccfa0,2021-10-16_09-13-09,1634368389.0,1932.5116510391235,98186.0,EPNLHOOW0187,192.168.100.70,1932.5116510391235,0.0,1.0,"22_deap_crossover_kwargs=0.48138,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.72165,doomsday_replace_with_random_prob=0.98323,enemy_number=(6, 7, 8),mating_num=6,patience=8,population_size=70,k=2,tournament_method=<function selProportional at 0x129dbfee0>,type=proportional",0.48138164341689926,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.7216500569214674,0.9832286697274348,"(6, 7, 8)",6.0,8.0,70.0,<function selProportional at 0x129dbfee0>,proportional,0.3,0.0,1.0,2.0,
00484672,9.536149765701667,1935.3384687900543,True,,,1.0,53193937d516493f89608084cbed774d,2021-10-16_09-17-39,1634368659.0,1935.3384687900543,98321.0,EPNLHOOW0187,192.168.100.70,1935.3384687900543,0.0,1.0,"23_deap_crossover_kwargs=0.56112,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.26802,doomsday_replace_with_random_prob=0.34727,enemy_number=(6, 7, 8),mating_num=6,patience=4,population_size=70,k=2,tournament_method=<function selProportional at 0x129dbfee0>,type=proportional",0.5611191652080947,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.2680169031887011,0.34726774607171235,"(6, 7, 8)",6.0,4.0,70.0,<function selProportional at 0x129dbfee0>,proportional,0.3,0.0,1.0,2.0,
9f451426,8.600591446537752,1685.2941420078278,True,,,1.0,bea73156d4b841bd98d5065e308fca09,2021-10-16_09-13-39,1634368419.0,1685.2941420078278,98328.0,EPNLHOOW0187,192.168.100.70,1685.2941420078278,0.0,1.0,"24_deap_crossover_kwargs=0.99994,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.96993,doomsday_replace_with_random_prob=0.72355,enemy_number=(2, 5),mating_num=5,patience=8,population_size=30,k=2,tournament_method=<function selProportional at 0x129dbfee0>,type=proportional",0.9999440049514327,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.9699302159736121,0.7235539577969403,"(2, 5)",5.0,8.0,30.0,<function selProportional at 0x129dbfee0>,proportional,0.3,0.0,1.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164b4586,5.315498746520961,1753.0515439510345,True,,,1.0,1b5e260dcf8d41dba8c3d5bda698a542,2021-10-16_09-26-35,1634369195.0,1753.0515439510345,98814.0,EPNLHOOW0187,192.168.100.70,1753.0515439510345,0.0,1.0,"26_deap_crossover_kwargs=0.7943,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.8,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.48543,doomsday_replace_with_random_prob=0.85262,enemy_number=(6, 7, 8),mating_num=10,patience=6,population_size=30,k=2,tournament_method=<function selProportional at 0x129dbfee0>,type=proportional",0.7942974971483383,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.4854302800278034,0.8526154178656931,"(6, 7, 8)",10.0,6.0,30.0,<function selProportional at 0x129dbfee0>,proportional,0.8,0.0,1.0,2.0,
4c045806,8.604738942498564,1078.1787497997284,True,,,1.0,064da5db72554d399d6d7c58b2d88e18,2021-10-16_09-25-38,1634369138.0,1078.1787497997284,99246.0,EPNLHOOW0187,192.168.100.70,1078.1787497997284,0.0,1.0,"27_deap_crossover_kwargs=0.67841,deap_crossover_method=<function cxUniform at 0x129dc8670>,indpb=0.3,mu=0,sigma=1,deap_mutation_operator=<function mutGaussian at 0x129ddd790>,doomsday_population_ratio=0.25527,doomsday_replace_with_random_prob=0.42568,enemy_number=(6, 7, 8),mating_num=1,patience=3,population_size=70,k=2,tournament_method=<function selProportional at 0x129dbfee0>,type=proportional",0.6784137511973114,<function cxUniform at 0x129dc8670>,<function mutGaussian at 0x129ddd790>,0.2552670217421439,0.4256760447493812,"(6, 7, 8)",1.0,3.0,70.0,<function selProportional at 0x129dbfee0>,proportional,0.3,0.0,1.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
